CAND_ID,degree_in,degree_in_raw,degree_out,degree_out_raw,pagerank,katz,"CANDIDATE NAME (Last, First)",chairs_next,chairs_now,total,negative,positive,absolute,PAC,SupPAC,CAND_PTY_AFFILIATION,CAND_OFFICE_ST,cumulative_occurrence,24E,24A,total_24a_positive,total_24e_positive
H6MN01174,0.04608294930875576,20,0.006912442396313364,3,0.002944557139352529,0.07032851615785136,"Walz, Tim",0,0,1376910,-9.7,1386.61,1396.31,170,0,DEM,MN,2,0.0,0.0,0.0,0.0
H8NY13077,0.07142857142857142,31,0.002304147465437788,1,0.0044840037202822985,0.09899166010683948,"McMahon, Michael E.",0,0,1125365,-30.5,1155.865,1186.365,255,0,DEM,NY,2,0.0,0.0,0.0,0.0
H0VA07042,0.020737327188940093,9,0.04377880184331797,19,0.007696556804948545,0.05848804924951773,"Cantor, Eric I.",1,1,2503493,-96.85,2600.343,2697.193,476,0,REP,VA,2,0.0,0.0,0.0,0.0
H6TN01388,0.004608294930875576,2,0.020737327188940093,9,0.0015330991953874558,0.03279538221159466,"Roe, David Philip",0,0,-1904,-30.5,28.596,59.096,21,0,REP,TN,2,0.0,0.0,0.0,0.0
H6CA42099,0.006912442396313364,3,0.01152073732718894,5,0.0014424230628727857,0.028493753620860603,"Baca, Joe",0,0,379697,-17.2,396.897,414.097,116,0,DEM,CA,2,0.0,0.0,0.0,0.0
H8OR05107,0.07834101382488479,34,0.0,0,0.005802945920152767,0.10311059405365733,"Schrader, Kurt",0,0,1926011,-22.348,1948.359,1970.707,233,0,DEM,OR,2,0.0,0.0,0.0,0.0
H2IL20042,0.002304147465437788,1,0.15207373271889402,66,0.003455164068602672,0.02816333909574162,"Shimkus, John M.",0,0,1241735,-19.5,1261.235,1280.735,355,0,REP,IL,2,0.0,0.0,0.0,0.0
H0IL15053,0.002304147465437788,1,0.006912442396313364,3,0.0011213501124918898,0.0239886675648211,"Johnson, Timothy V.",0,0,210105,-4.0,214.105,218.105,75,0,REP,IL,2,0.0,0.0,0.0,0.0
H4WA08071,0.08064516129032258,35,0.0,0,0.0069722050773077466,0.11849520952214775,"Reichert, Dave",0,0,1738316,-15.862,1754.178,1770.04,273,0,REP,WA,2,0.0,0.0,0.0,0.0
H8MN03077,0.02304147465437788,10,0.006912442396313364,3,0.001779540373590455,0.04683589735198002,"Paulsen, Erik",0,0,890067,-19.735,909.802,929.537,210,0,REP,MN,2,0.0,0.0,0.0,0.0
H8IL13069,0.02534562211981567,11,0.0,0,0.0021251227881971695,0.052032721849989035,"Biggert, Judy",0,0,777040,-8.25,785.29,793.54,213,0,REP,IL,2,0.0,0.0,0.0,0.0
H2CA37023,0.041474654377880185,18,0.002304147465437788,1,0.0038932652078933127,0.07174081609573897,"Calvert, Ken",0,0,1260736,-28.15,1288.886,1317.036,171,0,REP,CA,2,0.0,0.0,0.0,0.0
H6NJ12136,0.020737327188940093,9,0.006912442396313364,3,0.0017223230246488988,0.04471866394260436,"Lance, Leonard",0,0,664550,-14.5,679.05,693.55,174,0,REP,NJ,2,0.0,0.0,0.0,0.0
H6CA34112,0.052995391705069124,23,0.002304147465437788,1,0.003032164751014149,0.08647360019748483,"Lungren, Dan",1,1,949260,-9.052,958.312,967.364,251,0,REP,CA,2,0.0,0.0,0.0,0.0
H2MI00037,0.027649769585253454,12,0.01152073732718894,5,0.0018428558774716197,0.05028121756419854,"McCotter, Thaddeus G.",0,0,665255,-28.5,693.755,722.255,191,0,REP,MI,2,0.0,0.0,0.0,0.0
H6IL06117,0.002304147465437788,1,0.0,0,0.0011213501124918898,0.0239886675648211,"Roskam, Peter J.",0,0,982780,-18.032,1000.812,1018.844,283,0,REP,IL,2,0.0,0.0,0.0,0.0
H8IL18043,0.01152073732718894,5,0.006912442396313364,3,0.0024570225628431598,0.04192105036880997,"Schock, Aaron",0,0,672397,-16.0,688.397,704.397,212,0,REP,IL,2,0.0,0.0,0.0,0.0
H2SC02059,0.004608294930875576,2,0.004608294930875576,2,0.0011421422801991808,0.026864269804400306,"Wilson, Joe",0,0,536512,-8.5,545.012,553.512,129,0,REP,SC,2,0.0,0.0,0.0,0.0
H0IL11052,0.05069124423963134,22,0.002304147465437788,1,0.003372963204927362,0.08645873796126699,"Kinzinger, Adam",0,0,502302,-5.5,507.802,513.302,134,0,REP,IL,1,0.0,0.0,0.0,0.0
H4CA49032,0.018433179723502304,8,0.002304147465437788,1,0.0014242947992626823,0.03980291841725161,"Bilbray, Brian P.",0,0,419400,-8.414,427.814,436.228,152,0,REP,CA,2,0.0,0.0,0.0,0.0
