CAND_ID,degree_in,degree_in_raw,degree_out,degree_out_raw,pagerank,katz,CANDIDATE NAME,chairs_next,chairs_now,total,negative,positive,absolute,HyPAC,PAC,SupPAC,CAND_PTY_AFFILIATION,CAND_OFFICE_ST,cumulative_occurrence,24E,24A,total_24a_positive,total_24e_positive
H8MA02041,0.0,0,0.06682027649769585,29,0.0010575137977555304,0.020452131930031613,"Neal, Richard E.",0,0,1272632.0,-25.24,1297.872,1323.112,1.0,302.0,0.0,DEM,MA,3,0.0,0.0,0.0,0.0
H8VA11062,0.041474654377880185,18,0.0,0,0.0020174224217583492,0.06194595214315458,"Connolly, Gerald E. ""Gerry""",0,0,1057347.0,-17.0,1074.347,1091.347,2.0,215.0,1.0,DEM,VA,3,0.0,1.0,115.0,0.0
H8OR05107,0.04608294930875576,20,0.002304147465437788,1,0.0036428191770544014,0.06960262684147495,"Schrader, Kurt ",0,0,971479.0,-32.1,1003.579,1035.679,0.0,234.0,0.0,DEM,OR,3,0.0,0.0,0.0,0.0
H0RI02139,0.006912442396313364,3,0.013824884792626727,6,0.009037538204584803,0.03825623690342256,"Langevin, James R.",0,0,493490.0,-14.0,507.49,521.49,2.0,109.0,0.0,DEM,RI,3,0.0,0.0,0.0,0.0
H0UT02096,0.06221198156682028,27,0.0,0,0.003528070319853297,0.0962581245213127,"Matheson, Jim",0,0,3866268.0,-17.0,3883.268,3900.268,0.0,398.0,1.0,DEM,UT,3,0.0,1.0,61.575,0.0
H4CA11081,0.08755760368663594,38,0.002304147465437788,1,0.005068904454636581,0.12020893544026763,"McNerney, Jerry ",0,0,3632633.0,-22.53,3655.163,3677.693,1.0,186.0,1.0,DEM,CA,3,1.0,0.0,0.0,2.506
H8NC07044,0.07834101382488479,34,0.0,0,0.007395382382213373,0.11706639836124395,"McIntyre, Mike ",0,0,3577988.0,-19.0,3596.988,3615.988,1.0,282.0,0.0,DEM,NC,3,0.0,0.0,0.0,0.0
H8MI09068,0.018433179723502304,8,0.0,0,0.0013496745484084297,0.04005533796269025,"Peters, Gary",0,0,1557620.0,-24.0,1581.62,1605.62,1.0,217.0,2.0,DEM,MI,3,2.0,0.0,0.0,43.737
H6MN01174,0.0576036866359447,25,0.002304147465437788,1,0.0029376570550424734,0.08455139135677556,"Walz, Tim",0,0,722846.0,-13.51,736.356,749.866,1.0,198.0,0.0,DEM,MN,3,0.0,0.0,0.0,0.0
H8IL09067,0.0,0,0.018433179723502304,8,0.0010575137977555304,0.020452131930031613,"Schakowsky, Janice D.",0,0,340451.0,-7.0,347.451,354.451,1.0,88.0,0.0,DEM,IL,3,0.0,0.0,0.0,0.0
H0NY23081,0.059907834101382486,26,0.0,0,0.002814265267474343,0.08526313746127069,"Owens, William L.",0,0,3270243.0,-21.0,3291.243,3312.243,1.0,236.0,0.0,DEM,NY,2,0.0,0.0,0.0,0.0
H2NY01067,0.0967741935483871,42,0.0,0,0.010233654233259172,0.1481186010054686,"Bishop, Timothy H.",0,0,2873957.0,-20.0,2893.957,2913.957,2.0,225.0,0.0,DEM,NY,3,0.0,0.0,0.0,0.0
H8NY20056,0.002304147465437788,1,0.04838709677419355,21,0.001066977637415302,0.022497345123034775,"Lowey, Nita M.",1,0,305625.0,-7.5,313.125,320.625,1.0,93.0,0.0,DEM,NY,3,0.0,0.0,0.0,0.0
H6OH04082,0.0,0,0.041474654377880185,18,0.0010575137977555304,0.020452131930031613,"Jordan, Jim",0,0,485979.0,-10.0,495.979,505.979,1.0,163.0,0.0,REP,OH,3,0.0,0.0,0.0,0.0
H0PA03271,0.009216589861751152,4,0.002304147465437788,1,0.0016975624283024654,0.03166267767769522,"Kelly, Mike",0,0,518499.0,-10.5,528.999,539.499,0.0,152.0,0.0,REP,PA,2,0.0,0.0,0.0,0.0
H2PA09035,0.004608294930875576,2,0.08525345622119816,37,0.0012357526278244909,0.024997050136704852,"Shuster, Bill",1,0,887000.0,-24.0,911.0,935.0,0.0,225.0,0.0,REP,PA,3,0.0,0.0,0.0,0.0
H0PA07082,0.04838709677419355,21,0.002304147465437788,1,0.005002264169184207,0.07738550363512589,"Meehan, Patrick L.",0,0,1168955.0,-33.0,1201.955,1234.955,2.0,288.0,0.0,REP,PA,2,0.0,0.0,0.0,0.0
H8NY19058,0.002304147465437788,1,0.059907834101382486,26,0.0010885160311237473,0.022497345123034775,"Engel, Eliot L.",1,0,419527.0,-9.5,429.027,438.527,1.0,126.0,0.0,DEM,NY,3,0.0,0.0,0.0,0.0
H4NY27076,0.002304147465437788,1,0.02304147465437788,10,0.0023382141582757978,0.024277755074948237,"Higgins, Brian",0,0,404136.0,-5.5,409.636,415.136,1.0,97.0,0.0,DEM,NY,3,0.0,0.0,0.0,0.0
H2CT02112,0.004608294930875576,2,0.0,0,0.0023692163916440145,0.026322968267951392,"Courtney, Joe ",0,0,679679.0,-67.25,746.929,814.179,1.0,149.0,0.0,DEM,CT,3,0.0,0.0,0.0,0.0
H8MA05143,0.002304147465437788,1,0.004608294930875576,2,0.0023382141582757978,0.024277755074948237,"Tsongas, Nicola S.",0,0,231987.0,-9.5,241.487,250.987,0.0,64.0,0.0,DEM,MA,3,0.0,0.0,0.0,0.0
H2CA39078,0.02534562211981567,11,0.009216589861751152,4,0.002941997233983964,0.0489858032072389,"Sánchez, Linda T.",1,1,631093.0,-15.5,646.593,662.093,1.0,172.0,0.0,DEM,CA,3,0.0,0.0,0.0,0.0
H6NY25125,0.06912442396313365,30,0.002304147465437788,1,0.004450536622620408,0.10618353504885276,"Maffei, Daniel B.",0,0,2981855.0,-13.25,2995.105,3008.355,2.0,140.0,1.0,DEM,NY,3,0.0,1.0,74.775,0.0
H4GA06087,0.002304147465437788,1,0.0967741935483871,42,0.0010793623810648957,0.022724591033368234,"Price, Tom ",0,0,1065178.0,-41.5,1106.678,1148.178,1.0,275.0,0.0,REP,GA,3,0.0,0.0,0.0,0.0
H4MA06033,0.0967741935483871,42,0.002304147465437788,1,0.007843102482086218,0.11933269751198158,"Tierney, John F.",0,0,2391045.0,-32.0,2423.045,2455.045,1.0,139.0,0.0,DEM,MA,3,0.0,0.0,0.0,0.0
H0CA10149,0.06912442396313365,30,0.004608294930875576,2,0.0038374549082633306,0.098114185453516,"Garamendi, John ",0,0,752438.0,-5.5,757.938,763.438,1.0,181.0,0.0,DEM,CA,2,0.0,0.0,0.0,0.0
H8CA36097,0.03686635944700461,16,0.004608294930875576,2,0.0043693707892957945,0.07312080537458919,"Hahn, Janice",0,0,928820.0,-24.0,952.82,976.82,1.0,137.0,1.0,DEM,CA,1,0.0,1.0,5.792,0.0
H4GA08067,0.004608294930875576,2,0.013824884792626727,6,0.001240951711797258,0.027823659024344135,"Westmoreland, Lynn",0,0,567820.0,-15.5,583.32,598.82,1.0,145.0,0.0,REP,GA,3,0.0,0.0,0.0,0.0
H8GA10049,0.01152073732718894,5,0.004608294930875576,2,0.003328058117342863,0.03241499700094858,"Broun, Paul C.",0,0,372791.0,-7.0,379.791,386.791,1.0,98.0,0.0,REP,GA,3,0.0,0.0,0.0,0.0
H0TX27061,0.020737327188940093,9,0.0,0,0.0021867373322090526,0.04075102540134648,"Farenthold, Blake",0,0,430953.0,-11.5,442.453,453.953,0.0,136.0,0.0,REP,TX,2,0.0,0.0,0.0,0.0
H4IA05102,0.07142857142857142,31,0.002304147465437788,1,0.03316584231888013,0.10168288933663147,"Latham, Tom ",0,0,4351391.0,-9.5,4360.891,4370.391,1.0,452.0,1.0,REP,IA,3,0.0,1.0,491.396,0.0
H8CT01046,0.002304147465437788,1,0.12903225806451613,56,0.0038725490733922253,0.035715662703358214,"Larson, John B.",0,1,1119657.0,-84.25,1203.907,1288.157,1.0,278.0,0.0,DEM,CT,3,0.0,0.0,0.0,0.0
H6IA01098,0.03917050691244239,17,0.0,0,0.0020181597975908153,0.059061259948426925,"Braley, Bruce ",0,0,1324085.0,-20.5,1344.585,1365.085,3.0,200.0,0.0,DEM,IA,3,0.0,0.0,0.0,0.0
H8CT04172,0.004608294930875576,2,0.0,0,0.0011461258540008791,0.026897799754370597,"Himes, Jim",0,0,1040081.0,-32.5,1072.581,1105.081,1.0,236.0,0.0,DEM,CT,3,0.0,0.0,0.0,0.0
H0MO06073,0.0,0,0.020737327188940093,9,0.0010575137977555304,0.020452131930031613,"Graves, Sam",1,1,1015658.0,-32.5,1048.158,1080.658,2.0,274.0,0.0,REP,MO,3,0.0,0.0,0.0,0.0
H0NC02059,0.01152073732718894,5,0.002304147465437788,1,0.003053342174503408,0.04345627761780508,"Ellmers, Renee",0,0,589951.0,-21.0,610.951,631.951,1.0,198.0,0.0,REP,NC,2,0.0,0.0,0.0,0.0
H0MN04049,0.0,0,0.013824884792626727,6,0.0010575137977555304,0.020452131930031613,"McCollum, Betty",0,0,407548.0,-5.5,413.048,418.548,1.0,105.0,0.0,DEM,MN,3,0.0,0.0,0.0,0.0
H2AL06035,0.016129032258064516,7,0.041474654377880185,18,0.0030784964707267575,0.038975272239851914,"Bachus, Spencer",0,1,1425092.0,-42.0,1467.092,1509.092,1.0,278.0,0.0,REP,AL,3,0.0,0.0,0.0,0.0
H0VA05095,0.01152073732718894,5,0.006912442396313364,3,0.0019665382167373,0.03412504877139468,"Hurt, Robert",0,0,904720.0,-17.5,922.22,939.72,2.0,242.0,0.0,REP,VA,2,0.0,0.0,0.0,0.0
