CAND_ID,degree_in,degree_in_raw,degree_out,degree_out_raw,pagerank,katz,CANDIDATE NAME,chairs_next,chairs_now,total,negative,positive,absolute,HyPAC,PAC,SupPAC,CAND_PTY_AFFILIATION,CAND_OFFICE_ST,cumulative_occurrence,24E,24A,total_24a_positive,total_24e_positive
H0SC03077,0.002304147465437788,1,0.02534562211981567,11,0.0010817702352836141,0.021910733955150617,"Duncan, Jeff",0,0,322302,-9.5,331.802,341.302,0,91,0,REP,SC,3,0.0,0.0,0.0,0.0
H0GA09030,0.006912442396313364,3,0.0,0,0.0012131587630069673,0.026051618965805986,"Graves, John Thomas ""Tom""",0,0,473550,-10.0,483.55,493.55,0,151,0,REP,GA,3,0.0,0.0,0.0,0.0
H6CO05159,0.0,0,0.002304147465437788,1,0.0010678628302916988,0.019498116253963173,"Lamborn, Doug",0,0,311912,-12.5,324.412,336.912,1,107,0,REP,CO,4,0.0,0.0,0.0,0.0
H8CO06138,0.12442396313364056,54,0.020737327188940093,9,0.01557618762488546,0.1791166839688424,"Coffman, Mike",0,0,5740226,-27.5,5767.726,5795.226,2,303,8,REP,CO,4,4.0,4.0,1582.661,292.004
H8IL09067,0.0,0,0.03225806451612903,14,0.0010678628302916988,0.019498116253963173,"Schakowsky, Janice D.",0,0,363154,-7.15,370.304,377.454,2,91,0,DEM,IL,4,0.0,0.0,0.0,0.0
H2CA52089,0.1359447004608295,59,0.0,0,0.011640338818952725,0.18963877017393696,"Peters, Scott",0,0,4554139,-13.564,4567.703,4581.267,2,301,3,DEM,CA,2,2.0,1.0,512.797,109.077
H2CA36439,0.1175115207373272,51,0.016129032258064516,7,0.0067124352011208085,0.1485078751035115,"Ruiz, Raul",0,0,1244038,-16.0,1260.038,1276.038,2,231,1,DEM,CA,2,0.0,1.0,3.737,0.0
H2IL17071,0.10368663594470046,45,0.0,0,0.0060040159837476004,0.12966524652937836,"Bustos, Cheri ",0,0,1762892,-15.5,1778.392,1793.892,1,291,2,DEM,IL,2,0.0,2.0,225.914,0.0
H2CT05131,0.0944700460829493,41,0.006912442396313364,3,0.006841318724931057,0.11386677744680057,"Esty, Elizabeth",0,0,929472,-35.104,964.576,999.68,1,202,0,DEM,CT,2,0.0,0.0,0.0,0.0
H2FL22072,0.06451612903225806,28,0.013824884792626727,6,0.004922713056549318,0.08862528432418465,"Murphy, Patrick ",0,0,2610314,-36.0,2646.314,2682.314,3,291,3,DEM,FL,2,3.0,0.0,0.0,1188.83
H2CA00120,0.15668202764976957,68,0.0,0,0.013797094034723912,0.2189607517115006,"Brownley, Julia",0,0,2256711,-7.5,2264.211,2271.711,1,200,2,DEM,CA,2,1.0,1.0,438.543,74.7
H2AZ09019,0.0967741935483871,42,0.01152073732718894,5,0.012106550129711156,0.13891220582382857,"Sinema, Kyrsten",0,0,1976132,-23.5,1999.632,2023.132,4,308,5,DEM,AZ,2,4.0,1.0,36.0,623.318
H0IN03198,0.002304147465437788,1,0.002304147465437788,1,0.001150394777347416,0.02144792787935949,"Stutzman, Marlin A.",0,0,710292,-13.4,723.692,737.092,0,194,0,REP,IN,3,0.0,0.0,0.0,0.0
